demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,466,304,0,193.333,10,0,0,-1,101,2,466|1736
1,1425,730,0,107.467,10,0,0,-1,171,3,1425|921|626
2,1225,193,0,125.733,10,0,0,-1,95,3,1225|1211|933
3,1498,1229,0,83.3333,10,0,0,-1,248,3,1498|1391|790
4,1388,1172,0,93,10,0,0,-1,146,3,803|114|875
5,2,137,0,181.267,10,0,0,-1,98,3,2|1425|830
6,54,407,0,104.333,10,0,0,-1,188,3,54|526|1862
7,175,703,0,170.067,10,0,0,-1,58,3,175|10|1172
8,1722,634,0,169,10,0,0,-1,128,2,1722|455
9,1337,1901,0,190.533,10,0,0,-1,46,3,765|1133|1265
