demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,1761,2657,0,455.467,10,0,0,-1,37,3,253|3058|3395
1,3631,3785,0,358.667,10,0,0,-1,39,3,3631|1592|2496
2,3482,1030,0,328.267,10,0,0,-1,44,3,3482|2015|3364
3,2328,2858,0,283,10,0,0,-1,47,3,2328|2513|945
4,1304,3984,0,351.867,10,0,0,-1,35,2,1304|222
5,440,2262,0,119,10,0,0,-1,12,3,227|854|2451
6,411,1013,0,332.067,10,0,0,-1,51,3,411|476|823
7,1891,643,0,274.667,10,0,0,-1,40,3,1891|3255|790
8,522,1888,0,441.533,10,0,0,-1,46,3,522|1662|2983
9,59,2963,0,414.467,10,0,0,-1,29,3,59|34|3964
