demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,601,207,0,387.067,10,0,0,-1,77,3,601|95|479
1,282,52,0,338.333,10,0,0,-1,133,3,282|58|743
2,366,212,0,327.2,10,0,0,-1,210,3,366|201|13
3,464,862,0,112.733,10,0,0,-1,80,3,464|210|791
4,983,824,0,191.6,10,0,0,-1,87,3,983|180|820
5,933,142,0,219.2,10,0,0,-1,125,3,933|74|229
6,784,192,0,442.8,10,0,0,-1,97,3,784|63|730
7,805,349,0,410.333,10,0,0,-1,127,3,526|333|145
8,720,333,0,186,10,0,0,-1,34,2,720|42
9,341,765,0,193.733,10,0,0,-1,79,3,341|954|149
