demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,991,1797,0,265,10,0,0,-1,29,3,991|489|1984
1,918,122,0,396.6,10,0,0,-1,26,3,918|575|388
2,551,518,0,72.2,10,0,0,-1,30,2,551|732
3,333,1097,0,75.8667,10,0,0,-1,57,3,333|647|1816
4,273,839,0,259.467,10,0,0,-1,46,3,273|1334|1182
5,1895,1232,0,327,10,0,0,-1,26,3,1895|950|1901
6,1330,10,0,292,10,0,0,-1,23,3,1330|1369|598
7,1227,848,0,330.267,10,0,0,-1,42,3,1807|1811|1591
8,584,1007,0,249.2,10,0,0,-1,47,3,584|544|294
9,479,1262,0,285.8,10,0,0,-1,29,3,479|1075|1623
