demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,5576,4591,0,184.267,10,0,0,-1,57,3,5576|341|1938
1,1547,2884,0,170.733,10,0,0,-1,69,3,77|2758|3182
2,3855,754,0,175.867,10,0,0,-1,111,3,3855|1230|1540
3,5381,5858,0,72.3333,10,0,0,-1,171,3,1435|473|5083
4,370,1021,0,152.2,10,0,0,-1,66,3,370|3985|5073
5,2812,2045,0,143.533,10,0,0,-1,101,3,2812|134|1743
6,3795,4129,0,127.267,10,0,0,-1,97,3,2475|1427|1667
7,2227,5267,0,144.6,10,0,0,-1,91,3,2227|4123|2523
8,2141,2558,0,156.667,10,0,0,-1,46,3,2141|4591|3502
9,5728,4340,0,131.8,10,0,0,-1,102,3,5728|4639|3014
