demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,4823,2548,0,402.067,10,0,0,-1,44,3,4823|4404|3530
1,3218,1060,0,290.067,10,0,0,-1,25,3,3218|4780|2599
2,1962,4879,0,340.333,10,0,0,-1,43,3,1962|378|5080
3,4662,1376,0,261.333,10,0,0,-1,23,3,4662|3015|4345
4,4157,5966,0,421.867,10,0,0,-1,25,3,4157|1974|4697
5,4723,149,0,430.467,10,0,0,-1,40,3,2769|1663|4274
6,1137,3390,0,414.333,10,0,0,-1,37,3,2301|4889|4391
7,2004,1557,0,435.4,10,0,0,-1,45,3,2004|5065|1606
8,5542,5264,0,422.933,10,0,0,-1,44,3,2482|2488|1710
9,5860,5663,0,440.733,10,0,0,-1,39,3,5860|1862|3735
