demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,132,32,0,220.733,10,0,0,-1,149,3,132|200|811
1,682,244,0,242.6,10,0,0,-1,258,3,682|184|483
2,751,762,0,178,10,0,0,-1,289,3,751|259|66
3,793,549,0,190.067,10,0,0,-1,110,3,793|295|291
4,224,583,0,224.067,10,0,0,-1,112,2,224|734
5,934,438,0,245.267,10,0,0,-1,107,3,934|905|727
6,322,31,0,218.933,10,0,0,-1,105,3,322|74|60
7,880,95,0,236.933,10,0,0,-1,167,3,880|525|524
8,664,679,0,207.267,10,0,0,-1,137,3,738|604|891
9,775,889,0,151.867,10,0,0,-1,219,2,775|113
