demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,3115,145,0,176.467,10,0,0,-1,114,3,3115|1276|1624
1,1414,1751,0,87.2,10,0,0,-1,141,3,2028|2562|1075
2,694,3002,0,143.933,10,0,0,-1,122,2,694|1561
3,3986,3165,0,184.333,10,0,0,-1,124,3,1169|767|490
4,3838,2101,0,184.4,10,0,0,-1,113,3,3214|956|1733
5,3804,2203,0,197,10,0,0,-1,82,3,3804|818|2047
6,125,369,0,170.933,10,0,0,-1,68,3,125|2567|3914
7,3619,3927,0,176.933,10,0,0,-1,81,3,3619|3851|3955
8,2431,1129,0,189.6,10,0,0,-1,76,3,2431|227|1389
9,642,1502,0,173.333,10,0,0,-1,69,3,642|2470|2199
