demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,723,269,0,142.733,10,0,0,-1,101,3,723|9|857
1,152,843,0,216.133,10,0,0,-1,88,3,152|868|241
2,622,231,0,85.7333,10,0,0,-1,368,3,622|63|522
3,276,231,0,172.2,10,0,0,-1,96,3,276|727|866
4,51,754,0,140.8,10,0,0,-1,99,3,51|278|583
5,323,906,0,111.467,10,0,0,-1,181,3,323|481|855
6,900,123,0,120,10,0,0,-1,136,3,900|133|69
7,459,261,0,110.333,10,0,0,-1,160,3,389|938|936
8,59,636,0,180.8,10,0,0,-1,140,3,59|69|265
9,964,689,0,160.2,10,0,0,-1,79,3,964|682|545
