demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,882,4420,0,386.733,10,0,0,-1,119,3,3381|9348|7940
1,5674,1729,0,370.067,10,0,0,-1,132,3,5674|7250|6403
2,5672,2153,0,251.067,10,0,0,-1,119,3,5672|7872|8062
3,9001,4999,0,357.933,10,0,0,-1,132,3,9001|3643|6863
4,6886,2011,0,265.867,10,0,0,-1,108,3,6886|5297|5821
5,653,9424,0,277.933,10,0,0,-1,113,3,653|5524|9161
6,2837,5294,0,515,10,0,0,-1,74,3,8977|3468|1269
7,3262,1701,0,421.467,10,0,0,-1,127,3,1801|7121|7015
8,624,6531,0,242.733,10,0,0,-1,77,3,624|7062|9114
9,6074,39,0,384.267,10,0,0,-1,58,3,6074|2988|2369
