demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,1374,1480,0,140.733,10,0,0,-1,43,3,1624|2827|913
1,1790,3258,0,84.4,10,0,0,-1,69,3,3916|1810|1909
2,3838,139,0,157.133,10,0,0,-1,96,3,3838|533|2714
3,2081,1723,0,113.867,10,0,0,-1,121,3,2081|2966|948
4,3578,2259,0,177.067,10,0,0,-1,50,3,3578|3696|605
5,293,1014,0,160.867,10,0,0,-1,97,3,293|3629|2042
6,22,2853,0,86.3333,10,0,0,-1,93,3,22|3071|206
7,3368,3909,0,80.6667,10,0,0,-1,65,3,1469|2123|830
8,3724,1749,0,175.867,10,0,0,-1,41,3,3724|680|855
9,287,3659,0,162.733,10,0,0,-1,84,3,287|2180|1025
