demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,980,435,0,312.333,10,0,0,-1,40,3,980|161|531
1,123,402,0,77.4,10,0,0,-1,23,3,123|364|99
2,97,168,0,351.867,10,0,0,-1,63,3,97|817|375
3,21,587,0,187.933,10,0,0,-1,28,3,21|62|786
4,874,382,0,352.4,10,0,0,-1,37,3,874|94|937
5,896,705,0,361.067,10,0,0,-1,29,3,896|682|221
6,657,315,0,380.2,10,0,0,-1,39,3,657|489|475
7,467,271,0,192.467,10,0,0,-1,54,3,467|232|823
8,993,949,0,416.133,10,0,0,-1,23,3,993|260|592
9,439,198,0,281.4,10,0,0,-1,65,3,362|625|552
