demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,2390,2751,0,110.667,10,0,0,-1,26,3,2390|7578|6540
1,7620,554,0,341.267,10,0,0,-1,42,3,7620|8303|5808
2,1086,1586,0,399,10,0,0,-1,44,3,1086|8010|5129
3,1561,9053,0,267.267,10,0,0,-1,63,3,1561|7955|8093
4,3254,6553,0,356.733,10,0,0,-1,61,3,8468|9638|7842
5,5842,561,0,189.6,10,0,0,-1,71,3,9317|2519|9021
6,1380,9336,0,403.933,10,0,0,-1,45,3,2083|5614|8184
7,1924,5075,0,250.8,10,0,0,-1,55,3,2245|3545|9263
8,7811,4334,0,383.8,10,0,0,-1,44,3,7811|4595|7641
9,3335,8480,0,419.267,10,0,0,-1,73,3,3335|6849|9672
