demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,749,72,0,123.867,10,0,0,-1,76,3,749|675|81
1,53,372,0,72.0667,10,0,0,-1,48,2,53|812
2,317,553,0,158.4,10,0,0,-1,66,3,317|969|976
3,223,864,0,153.8,10,0,0,-1,70,3,223|618|225
4,991,46,0,72.6,10,0,0,-1,126,3,991|962|176
5,15,291,0,172.4,10,0,0,-1,87,3,15|387|946
6,610,677,0,173.733,10,0,0,-1,76,3,610|629|305
7,399,779,0,163.2,10,0,0,-1,54,3,399|102|331
8,967,418,0,90.5333,10,0,0,-1,100,3,967|69|580
9,923,532,0,87.4667,10,0,0,-1,164,3,923|685|452
