demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,2936,3592,0,550.133,10,0,0,-1,128,3,2608|164|2183
1,433,516,0,229.333,10,0,0,-1,69,3,140|106|715
2,960,2411,0,456.533,10,0,0,-1,103,3,960|3920|3886
3,1927,3096,0,416,10,0,0,-1,105,3,1927|3686|3574
4,615,2128,0,354.4,10,0,0,-1,67,3,615|874|474
5,3034,2191,0,346.933,10,0,0,-1,109,3,3034|129|1936
6,3025,2488,0,414.733,10,0,0,-1,112,3,3707|2895|3428
7,929,3759,0,247.667,10,0,0,-1,129,3,1503|101|511
8,1262,2609,0,410.733,10,0,0,-1,93,3,2|3350|3090
9,1168,2963,0,285.2,10,0,0,-1,123,3,1576|504|3500
