demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,592,637,0,119.467,10,0,0,-1,80,3,592|375|1615
1,1885,601,0,132.8,10,0,0,-1,59,3,1885|1238|1622
2,1632,1422,0,137.133,10,0,0,-1,56,3,1632|1576|116
3,1109,789,0,102.933,10,0,0,-1,110,3,1109|907|1985
4,1468,1725,0,175.867,10,0,0,-1,57,3,1468|1472|983
5,1965,804,0,159.267,10,0,0,-1,84,3,1965|1400|105
6,998,1029,0,144.533,10,0,0,-1,93,3,998|619|1803
7,703,1601,0,142.933,10,0,0,-1,70,3,703|181|1356
8,567,663,0,156.267,10,0,0,-1,57,3,567|835|804
9,735,112,0,105,10,0,0,-1,105,3,735|57|1216
