demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,7059,7661,0,137.6,10,0,0,-1,67,3,7059|3773|3946
1,3060,1486,0,166,10,0,0,-1,84,3,3060|4133|4573
2,6938,1926,0,137.467,10,0,0,-1,57,3,6938|3997|2915
3,7104,3983,0,92,10,0,0,-1,117,3,7104|1935|2779
4,5705,2660,0,145.2,10,0,0,-1,100,3,5705|1475|8665
5,8646,6865,0,161.133,10,0,0,-1,68,3,3630|3844|1839
6,552,140,0,157.333,10,0,0,-1,55,3,552|4586|9968
7,9002,6052,0,146.733,10,0,0,-1,81,3,9002|9659|1919
8,9380,5151,0,129.067,10,0,0,-1,46,3,9380|4925|5588
9,9718,6185,0,128.6,10,0,0,-1,93,3,9718|2534|9168
